app_name,n_reviews,unique_review_ids,avg_rating,median_rating,pct_1_star,pct_5_star,avg_char_len,median_char_len,avg_word_count,median_word_count,earliest_review,latest_review,app_version_coverage,review_created_version_coverage,developer_reply_coverage
Airbnb,1200,1200,4.08,5.0,18.666666666666668,71.25,78.445,32.0,14.51,6.0,2026-05-28 17:50:21,2026-06-25 20:42:31,87.58333333333333,87.58333333333333,0.16666666666666669
DoorDash,1200,1200,3.0533333333333332,3.0,38.5,41.66666666666667,111.1175,60.0,21.24416666666667,11.0,2026-06-16 14:19:39,2026-06-25 20:15:53,89.41666666666667,89.41666666666667,0.0
Duolingo,1200,1200,4.456666666666667,5.0,6.833333333333333,75.58333333333334,58.87833333333333,27.0,11.435833333333333,5.0,2026-06-25 04:39:13,2026-06-25 20:56:02,89.5,89.5,0.0
Instagram,1200,1200,3.745833333333333,5.0,25.333333333333336,60.916666666666664,60.8175,19.0,11.120833333333334,4.0,2026-06-25 11:21:20,2026-06-25 20:57:33,62.74999999999999,62.74999999999999,0.0
Netflix,1200,1200,3.2191666666666667,4.0,36.75,47.25,89.63583333333334,39.5,16.753333333333334,8.0,2026-06-15 06:42:46,2026-06-25 20:33:30,69.33333333333334,69.33333333333334,0.0
Spotify,1200,1200,3.665,5.0,24.166666666666668,55.08333333333333,81.48583333333333,33.0,15.8675,6.0,2026-06-24 09:25:51,2026-06-25 20:15:10,84.91666666666666,84.91666666666666,11.416666666666666
TikTok,1200,1200,3.9125,5.0,20.5,65.0,54.31166666666667,16.0,10.686666666666667,3.0,2026-06-24 11:07:06,2026-06-25 20:57:50,62.0,62.0,84.5
Uber,1200,1200,3.7375,5.0,26.333333333333332,62.416666666666664,75.70833333333333,20.0,14.320833333333333,4.0,2026-06-23 04:52:34,2026-06-25 20:50:22,85.33333333333334,85.33333333333334,0.25
Walmart,1200,1200,3.7916666666666665,5.0,18.083333333333336,57.08333333333333,95.48666666666666,44.0,18.258333333333333,8.0,2026-06-19 00:03:20,2026-06-25 20:52:49,94.75,94.75,88.58333333333334
YouTube,1200,1200,3.7825,5.0,23.083333333333332,61.83333333333333,42.83166666666666,12.0,8.36,2.0,2026-06-25 08:41:24,2026-06-25 20:57:06,97.83333333333334,97.83333333333334,0.0
