app_name,n_reviews,low_signal_reviews,low_signal_pct,avg_rating_low_signal
Airbnb,1200,419,34.91666666666667,4.68019093078759
DoorDash,1200,238,19.833333333333332,4.239495798319328
Duolingo,1200,445,37.083333333333336,4.687640449438202
Instagram,1200,590,49.166666666666664,4.45593220338983
Netflix,1200,381,31.75,4.120734908136483
Spotify,1200,412,34.333333333333336,4.349514563106796
TikTok,1200,638,53.166666666666664,4.407523510971787
Uber,1200,587,48.91666666666667,4.689948892674617
Walmart,1200,299,24.916666666666668,4.645484949832776
YouTube,1200,732,61.0,4.262295081967213
