app_name,n_reviews,sentiment_available_pct,mismatch_count,mismatch_pct
Airbnb,1200,64.0,14,1.1666666666666667
DoorDash,1200,79.33333333333333,41,3.4166666666666665
Duolingo,1200,58.08333333333333,15,1.25
Instagram,1200,42.916666666666664,13,1.0833333333333335
Netflix,1200,64.25,32,2.666666666666667
Spotify,1200,60.83333333333333,26,2.166666666666667
TikTok,1200,39.916666666666664,25,2.083333333333333
Uber,1200,48.91666666666667,11,0.9166666666666666
Walmart,1200,76.33333333333333,12,1.0
YouTube,1200,32.75,20,1.6666666666666667
