source,app_name,rating,review_count
google_play,Spotify,1,501
google_play,Spotify,2,148
google_play,Spotify,3,127
google_play,Spotify,4,176
google_play,Spotify,5,1048
google_play,TikTok,1,352
google_play,TikTok,2,97
google_play,TikTok,3,109
google_play,TikTok,4,143
google_play,TikTok,5,1299
google_play,YouTube,1,521
google_play,YouTube,2,106
google_play,YouTube,3,100
google_play,YouTube,4,111
google_play,YouTube,5,1162
ios_app_store,Spotify,1,480
ios_app_store,Spotify,2,114
ios_app_store,Spotify,3,187
ios_app_store,Spotify,4,221
ios_app_store,Spotify,5,1498
ios_app_store,TikTok,1,889
ios_app_store,TikTok,2,170
ios_app_store,TikTok,3,226
ios_app_store,TikTok,4,210
ios_app_store,TikTok,5,505
ios_app_store,YouTube,1,775
ios_app_store,YouTube,2,187
ios_app_store,YouTube,3,231
ios_app_store,YouTube,4,187
ios_app_store,YouTube,5,1120
